item,item_level,enchanting_level,result
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,0,3,fail
accessory,0,4,fail
armor,5,5,win
armor,5,0,fail
weapon,9,14,fail
armor,5,1,win
armor,5,0,fail
armor,5,1,win
armor,5,0,fail
armor,5,1,win
armor,6,0,fail
armor,6,1,fail
armor,6,2,win
armor,6,0,fail
armor,6,1,win
armor,6,0,fail
armor,6,1,win
armor,6,0,win
armor,7,0,fail
armor,7,1,fail
armor,7,2,fail
armor,7,3,fail
armor,7,4,fail
armor,7,5,fail
armor,7,6,fail
armor,7,7,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
armor,7,3,fail
armor,7,4,fail
armor,7,5,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
armor,7,3,fail
armor,7,4,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
armor,7,3,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
weapon,7,3,fail
weapon,7,4,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
weapon,8,3,fail
weapon,8,4,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
weapon,9,3,fail
weapon,9,4,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,1,3,fail
accessory,1,4,fail
armor,8,5,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,1,3,win
accessory,0,0,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,win
armor,8,5,fail
armor,8,6,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,1,3,fail
accessory,1,4,fail
armor,8,5,fail
armor,8,6,fail
armor,8,7,fail
armor,8,8,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,1,3,fail
accessory,1,4,fail
armor,8,5,fail
armor,8,6,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,win
accessory,0,0,fail
accessory,0,0,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,1,3,fail
accessory,1,4,fail
armor,9,5,fail
armor,9,6,fail
armor,9,7,fail
armor,9,8,fail
armor,9,9,fail
weapon,10,10,fail
weapon,10,11,fail
weapon,10,12,fail
weapon,10,13,fail
weapon,10,14,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,fail
armor,9,5,fail
armor,9,6,fail
armor,9,7,fail
armor,9,8,fail
armor,9,9,fail
weapon,10,10,fail
weapon,10,11,fail
weapon,10,12,fail
weapon,10,13,fail
weapon,10,14,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,fail
armor,9,5,fail
armor,9,6,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,fail
armor,9,5,fail
armor,9,6,fail
armor,9,7,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,0,3,fail
cloth,0,4,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,fail
armor,9,5,fail
armor,9,6,fail
armor,9,7,fail
armor,9,8,fail
armor,9,9,win
wagon part,0,0,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,win
armor,9,5,fail
armor,9,6,fail
armor,9,7,fail
armor,9,8,fail
armor,9,9,fail
weapon,10,10,fail
weapon,10,11,fail
weapon,10,12,fail
weapon,10,13,fail
weapon,10,14,fail
weapon,10,15,fail
weapon,10,16,fail
weapon,10,17,fail
weapon,10,18,fail
weapon,10,19,fail
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,win
